#;RefDes;Name;Value
1;BT1;BATT_HOLDER_RENATA_HU2032-LF;
2;BT2;CR-2450/G1AN;620 mAh
3;C1;CAP_0603;0.1uF
4;C2;CAP_1206;10 uF
5;C3;CAP_1206;10 uF
6;C4;CAP_0603;0.1uF
7;C5;CAP_0603;0.1uF
8;C6;CAP_0603;0.1 uF
9;C7;CAP_0603;0.1 uF
10;C8;CAP_0603;0.1 uF
11;C9;CAP_0603;0.1uF
12;D1;LED_0805;
13;J1;TC2030-MCP-NL;ICSP
14;J2;TC2030-MCP-NL;FTDI
15;Q1;SI2333CD;
16;R1;RES_0603;10k
17;R2;RES_0603;10k
18;R3;RES_0603;10k
19;R4;RES_0603;10K
20;R5;RES_0603;100
21;R6;RES_0603;10K
22;R7;RES_0603;330
23;R10;RES_0603;100
24;R11;RES_0603;100K
25;R12;RES_0603;1.2M
26;R15;RES_0603;10K
27;R26;RES_0603;6.8K for 1s period
28;R28;RES_0603;22K for 1s period
29;S1;TL3315NF100Q;RESET SWITCH
30;U1;ATMEGA168_TQFP;
31;U2;SI7021-A20;
32;U3;RFM69W;
33;U4;W25X40CLSN;
34;U5;EKMB1101113;
35;U6;TPL5010;
36;U7;WS2812B;
37;Y1;CSTCEV;
